JUDUL,KELURAHAN,HARGA,LB,LT,KT,KM,GRS
Dijual Rumah Hitung Tanah Asem Baris Raya Lokasi Strategis Aman Jalan Raya,Tidak Diketahui,5500000000,300,266,6,4,4
Jual Rumah Di Tebet Jakarta Selatan,Tidak Diketahui,9000000000,470,353,9,6,3
Rumah Bagus Akses Jalan 2 Mobil TERMURAH di Tebet Utara,Tidak Diketahui,3500000000,190,100,5,4,2
Rumah Megah SIAP HUNI TERMURAH di Tebet Timur,Tebet Timur,12999000000,400,429,9,5,5
Rumah Siap Huni Di Asem Baris Kebon Baru Tebet Jakarta Selatan,Kebon Baru,2300000000,160,135,4,3,1
Tebet rumah dijual jalan 2 mobil lebar lokasi strategis,Tidak Diketahui,7100000000,200,256,5,3,3
Rumah Cantik,Tidak Diketahui,7000000000,350,180,3,3,0
Rumah Bagus Murah Sekali Cocok Utk Tempat Tinggal Dan Kost2an Tebet,Tidak Diketahui,1500000000,200,170,7,2,0
Kb. Baru,Tidak Diketahui,1500000000,100,80,4,2,0
Rumah Sederhana Siap Huni Lokasi Strategis Tebet Barat Jaksel,Tebet Barat,3500000000,150,135,4,2,0
Rumah Siap Huni 2lantai Akses 2mbl Lokasi Tebet Barat,Tebet Barat,4000000000,150,100,3,3,1
Rumah Siap Huni Akses jalan 2 mobil di asem baris tebet,Tidak Diketahui,4000000000,144,126,4,2,3
Dijual rumah tua perlu renovasi akses jalan 2mobil lokasi dekat lapangsn bola pspt,Tidak Diketahui,3750000000,150,135,3,2,1
Rumah Bagus Siap Huni Di Tebet Timur Dalam Jak Sel,Tebet Timur,4000000000,150,140,4,2,2
Rumah Mewah 3 Lantai Jalan Swadaya I Tebet ( FA),Tidak Diketahui,6000000000,450,260,7,4,1
Rumah Baru 2 Lt Dekat Taman dan Pasar Tebet Barat PALING MURAH di Tebet Barat,Tebet Barat,2550000000,150,90,4,4,2
Rumah Clasic Asem Baris Tebet Jakarta Selatan Hitung Tanah Saja Setrategis Dekat Mt Haryono,Tidak Diketahui,9200000000,650,695,9,6,1
Rumah lama hitung Tanah di Tebet,Tidak Diketahui,7500000000,180,253,3,2,1
Rumah Tebet Hitung Tanah,Tidak Diketahui,14250000000,350,393,5,4,1
Brand New House Di Lokasi Iconic Tebet,Tidak Diketahui,4000000000,216,135,5,4,2
Tebet Rumah Minimalis,Tidak Diketahui,5850000000,220,138,4,3,2
Rumah Minimalis Bagus Tebet Timur,Tebet Timur,2700000000,160,90,3,3,1
Dijual Rumah Tebet Hitung Tanah Lokasi Strategis Jalan 1 Mobil,Tidak Diketahui,3250000000,200,157,7,3,1
Rumah tebet jalan lebar nyaman keamanan 24 jam dekat kemana mana,Tidak Diketahui,9800000000,350,247,4,3,2
Dijual Rumah Asri Komplek Tebet Mas Lokasi Premium Nyaman Jalan 2 Mobil,Tidak Diketahui,12000000000,350,237,4,3,2
Rumah Mewah Di Tebet Turun Harga Menjadi Rp 14,Tidak Diketahui,14500000000,500,307,10,7,2
Rumah Di Jual Di Tebet,Tidak Diketahui,8200000000,300,260,4,4,3
Rumah Di Jual,Tebet Barat,2700000000,120,92,3,3,2
Dijual Rumah minimalis di Bukit Duri,Bukit Duri,2500000000,121,100,3,2,2
Rumah Hoek Tebet Jakarta Mewah,Tidak Diketahui,9900000000,350,250,5,3,2
Rumah Tebet Jakarta Selatan,Tidak Diketahui,4200000000,285,160,5,6,1
Rumah Di Tengah Pusat Bisnis Dekat Jalan Gatot Subroto Jaksel,Tidak Diketahui,10000000000,353,535,10,10,7
Rumah Dalam Komplek Di Gudang Peluru - Tebet Blok N348,Tidak Diketahui,5000000000,220,217,3,3,1
Tebet,Tidak Diketahui,4300000000,250,90,4,4,2
Rumah 2 Lantai Lokasi Strategis Akses 2 Mbl Asem Baris Tebet,Tidak Diketahui,3000000000,250,125,3,2,1
Rumah Lama Layak Huni Akses 2 Mbl Lapangan Ros Tebet Jaksel,Tidak Diketahui,3000000000,130,170,4,3,1
Rumah Baru Design Modern Posisi Hook Lokasi Tebet Timur,Tebet Timur,3400000000,170,110,4,4,2
rumah baru 2lantai siap huni akses jalan 1mobil lokasi tebet timur,Tebet Timur,3200000000,150,90,3,2,1
Rumah Siap Huni Akses 1mobil Lokasi Tebet Timur,Tebet Timur,3000000000,150,110,4,3,2
Rumah Baru Siap Huni Semi Furnish Akses 1mobil Lokasi Tebet Utara,Tidak Diketahui,3200000000,210,91,5,3,1
Dijual rumah baru Lokasi tbt timur,Tidak Diketahui,3300000000,150,90,3,2,1
Rumah Siap Huni Di Tebet,Tidak Diketahui,5700000000,250,190,4,3,1
Rumah Siap Huni Di Kebon Baru Jaksel,Kebon Baru,2100000000,188,125,6,4,1
Di jual Rumah di tebet,Tidak Diketahui,4000000000,89,175,3,3,2
good house at jaksel tebet,Tidak Diketahui,2200000000,120,220,5,3,1
goood house at jakarta selatan tebet,Tidak Diketahui,8500000000,234,300,5,4,1
good house at jakarta selatan tebet,Tidak Diketahui,1700000000,154,204,5,2,0
Jual Cepat Rumah Di Tebet,Tidak Diketahui,10500000000,350,247,5,5,3
Rumah Tebet Dekat Mall Kokas BU Harga Covid,Tidak Diketahui,1899000000,150,135,4,2,1
good house at tebet,Tidak Diketahui,1500000000,90,121,3,2,0
Rumah Tebet Barat Dalam Jakarta Selatan,Tebet Barat,9000000000,399,384,3,3,1
Dijual Termurah Rumah Siap Huni di Tebet Utara Jakarta Selatan,Tidak Diketahui,3500000000,180,100,5,4,1
TEBET MAS Rumah Nyaman Dalam Komplek Elit Dekat Taman JARANG ADA,Tidak Diketahui,13000000000,250,322,4,3,2
Dijual Rumah di Tebet Utara,Tidak Diketahui,7800000000,160,261,3,4,2
Dijual Rumah Tebet Barat Lokasi Premium Tenang Jalan Lebar,Tebet Barat,8000000000,200,202,5,3,3
Dijual Murah Rumah Mewah di Tebet Utara Jakarta Selatan,Tidak Diketahui,8000000000,450,306,5,4,1
Rumah Lama Layak Huni Tebet Jak Sel,Tidak Diketahui,2900000000,90,135,2,1,1
Dijual rumah lama layak huni akses jalan lebar lokasi tebet timur,Tebet Timur,2950000000,125,135,2,1,0
Rumah Tua Butuh Renovasi di Tebet Timur Jak Sel,Tebet Timur,2600000000,80,130,2,1,0
Rumah Siap Huni Baru Renovasi Di Tebet Utara Jak Sel,Tidak Diketahui,2500000000,105,54,3,2,1
Di jual rumah 2nd siap huni akses gg motor tebet,Tidak Diketahui,2500000000,100,130,3,2,0
Rumah Siap Huni Model Minimalis Di Tebet Jakarta Selatan,Tidak Diketahui,2600000000,180,95,4,2,1
TEBET - Bagus Untuk Investasi di Jalan 1 Mobil,Tidak Diketahui,2700000000,120,142,3,2,1
Rumah di Tebet Jalan dua mobil bangunan lama,Tidak Diketahui,5000000000,100,220,2,1,0
Rumah dijual di Tebet,Tidak Diketahui,5900000000,340,134,5,4,3
Rumah huk di Tebet jalan satu mobil lebar,Tidak Diketahui,3000000000,250,150,3,3,2
Rumah baru di Tebet Barat dekat jalan dua mobil,Tebet Barat,3500000000,160,118,4,4,2
Rumah di Tebet Barat bagus terawat dekat fasum,Tebet Barat,3200000000,128,138,3,2,1
TEBET - Siap Huni,Tidak Diketahui,5300000000,200,145,3,3,2
TEBET - Depan Taman,Tidak Diketahui,6500000000,220,150,3,3,1
Jual Cepat Rumah Di Casablanca Jakarta Selatan,Tidak Diketahui,6000000000,300,284,7,3,3
Rumah Baru dijual di Tebet Barat,Tebet Barat,3500000000,200,135,3,3,2
Dijual Rumah Di Jl. Kebon Baru Utara,Kebon Baru,2780000000,192,120,5,4,2
For Sale..Rumah Di Tebet Timur,Tebet Timur,4900000000,215,135,9,8,0
Rumah baru 100% bergaya mewah tebet Jakarta selatan,Tidak Diketahui,3800000000,160,165,4,3,1
Dijual Rumah Baru Dengan Design Minimalis Di Tebet,Tidak Diketahui,4500000000,175,125,3,3,2
Dijual Rumah Brand New,Tebet Barat,6500000000,350,230,4,4,2
Dijual Rumah Dalam Komplek Elit Tebet Mas Lokasi Paling Premium di Tebet,Tidak Diketahui,5500000000,300,140,3,3,2
Dijual Rumah di Tebet Utara,Tidak Diketahui,7800000000,160,261,3,4,2
TERJUAL Rumah Di Bukit Duri Area Komersil,Bukit Duri,3900000000,150,250,4,2,2
DIJUAL CEPAT HARGA MURAH ( BU CEPAT) Rumah 700 m2 Di TEBET,Tidak Diketahui,9200000000,450,700,8,4,4
Dijual rumah siap huni 2lantai full strategis dekat kokas akes jalan2mobil lokasi menteng dalam,Menteng Dalam,2200000000,150,82,5,2,2
Rumah Siap Huni Hanya 50m Dari Dan Ke Asem Baris Raya Tebet,Tidak Diketahui,2100000000,100,126,2,2,1
Rumah Siap Huni Akses 1mobil Di Tebet Timur,Tebet Timur,2450000000,150,135,5,2,0
Rumah Bagus Siap Huni Pinggir Jalan 2 Mbl Asem Baris Tebet,Tidak Diketahui,2150000000,120,135,3,2,1
Rumah Bagus Siap Huni Pinggir Jalan 2 Mbl Asem Baris Tebet,Tidak Diketahui,2300000000,130,150,4,1,0
Rumah siap huni lokasi strategis pinggir jalan raya asem baris jaksel,Tidak Diketahui,2000000000,120,94,2,2,0
Rumah Tua Dalam Lingkungan Yang Nyaman Di Kebon Baru Jakarta Selatan,Kebon Baru,2250000000,130,150,2,1,0
Dijual rumah di Asem baris,Tidak Diketahui,2000000000,100,111,2,2,1
Rumah baru siap huni di tebet barat,Tebet Barat,4000000000,216,135,5,4,2
Dijual Rumah Komplek Tebet Lokasi Premium Tenang Jalan Lebar,Tidak Diketahui,13000000000,216,384,3,3,2
Dijual Cepat Rumah Di Tebet Dalam,Tidak Diketahui,9000000000,470,353,9,6,0
Rumah Baru Model Minimalis Di Tebet Timur Jakarta Selatan,Tebet Timur,6200000000,260,138,6,5,0
Dijual Rumah Lama Hitung Tanah Di Tebet Jaksel,Tidak Diketahui,2400000000,120,149,3,2,0
TEBET RAYA Jalan Lebar Cocok Untuk Resto dan Kantor,Tidak Diketahui,15000000000,237,387,5,4,3
3 Bedrooms House Tebet,Tidak Diketahui,2200000000,120,100,3,2,1
Jual Rumah Tebet 3-Lantai Akses 2 Mobil,Tidak Diketahui,5000000000,320,150,9,5,0
Rumah tebet dekat mall kokas,Tidak Diketahui,2700000000,135,87,3,2,2
Rumah Baru di Jln Tebet Timur Jakarta Selatan,Tebet Timur,4595000000,170,136,5,4,2
Dijual Rumah di Jalan Palbatu,Tidak Diketahui,1300000000,100,75,3,2,0
Dijual Cepat Rumah Hoek Tebet,Tidak Diketahui,12000000000,500,590,10,10,0
Dijual Cepat Rumah Bagus di Tebet,Tidak Diketahui,3500000000,170,100,5,3,3
Dijual Rumah Baru di Tebet,Tidak Diketahui,3900000000,179,142,5,4,2
Dijual Rumah Baru di Tebet,Tidak Diketahui,3900000000,179,142,5,4,2
Dijual Rumah Elite di Tebet,Tidak Diketahui,1250000000,480,312,4,2,1
Dijual Rumah Baru di Tebet,Tidak Diketahui,3900000000,230,130,3,4,3
Dijual Rumah Tebet Barat,Tebet Barat,3000000000,150,160,5,2,0
Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan Lebar,Tidak Diketahui,12000000000,240,303,6,6,4
Rumah Nyaman Jalan Lebar Strategis Di Kebon Baru Dekat Stasiun Tebet,Kebon Baru,5000000000,275,210,6,5,3
Rumah 2 Lantai Luas Murah Strategis Di Kebon Baru Dekat Stasiun Tebet,Kebon Baru,2300000000,150,132,4,3,1
Dijual Rumah Strategis Komplek Gudang Peluru Jakarta Selatan,Tidak Diketahui,9800000000,162,342,5,3,2
Rumah Murah Di Tebet Jaksel,Tidak Diketahui,6800000000,500,428,5,4,4
Rumah 2 Lantai Di Tebet Barat,Tebet Barat,11000000000,600,391,7,5,4
Rumah Di Pinggir Jalan Tebet Barat Raya,Tebet Barat,11500000000,350,400,9,7,6
Dijual Cepat Rumah Tebet Barat Dalam Lokasi Strategis Jakarta Selatan,Tebet Barat,3600000000,130,163,3,2,2
Rumah Mewah Dan Sangat Strategis Di Tebet,Tidak Diketahui,9500000000,340,240,7,4,2
Tebet Mas,Tidak Diketahui,13000000000,225,322,4,3,2
Rumah TEBET jak sel,Tidak Diketahui,10000000000,300,264,5,4,0
Rumah berada di kawasan elit di @Tebet Timur,Tebet Timur,5500000000,117,205,5,4,0
Rumah Di tebet Barat,Tebet Barat,3500000000,90,110,3,3,1
Rumah di tebet,Tidak Diketahui,3500000000,250,91,4,2,2
Rumah Murah Di Tebet Jakarta Selatan Baru,Tidak Diketahui,3800000000,154,113,4,4,3
Rumah Siap Huni Di Tebet Lokasi Sangat Strategis Sekali,Tidak Diketahui,2800000000,250,90,3,3,1
Dijual Rumah Mewah Terawat Di Daerah Tebet Hrg Menarik,Tidak Diketahui,13750000000,600,429,6,4,1
Rumah Baru Tebet,Tidak Diketahui,6200000000,220,150,4,4,2
Dijual Rumah Asri,Tidak Diketahui,4600000000,200,147,4,3,1
Rumah Lama di tebet berada di pusat kota jakarta selatan,Tidak Diketahui,12000000000,322,322,4,3,2
di jual rumah bagus tebet,Tidak Diketahui,2500000000,94,78,2,2,2
Rumah Lama Tebet Dijual Cepet Dengan Lokasi Strategis,Tidak Diketahui,2500000000,160,135,3,2,2
Rumah Besar Bangunan Kokoh Siap Huni Di Kebon Baru Tebet Jak Sel,Kebon Baru,9200000000,450,700,8,4,2
Dijual rumah hitung tanah di tebet dalam komplek jalan lebar,Tidak Diketahui,6500000000,217,217,3,2,2
Rumah Siap Huni Dan Bagus Dijual Kebon Baru Tebet Jakarta Selatan,Kebon Baru,12000000000,450,700,8,4,0
Rumah Di Tebet Timur,Tebet Timur,4200000000,120,143,6,3,2
Rumah Di Tebet Barat Dalam,Tebet Barat,5500000000,200,221,5,2,2
Tebet rumah minimalis modern akses 2 mobil,Tidak Diketahui,3500000000,190,100,6,4,2
Rumah gang kebun baru tebet jakarta selatan,Tidak Diketahui,900000000,100,56,3,2,0
Rumah Dijual di Tebet Jakarta Selatan,Tidak Diketahui,3500000000,350,100,4,4,2
Rumah murah dan strategis di tebet timur jakarta selatan,Tebet Timur,7500000000,150,288,5,3,1
Rumah dua lantai di Tebet Barat Dalam Jakarta Selatan,Tebet Barat,3500000000,235,140,5,4,2
Rumah Jakarta Selatan Tebet,Tidak Diketahui,14000000000,200,475,5,3,0
Rumah Siap Huni LT 170 M2 TERMURAH di Tebet Dalam,Tidak Diketahui,3500000000,210,170,6,2,2
Newly House dekat Taman Akses JALAN 2 MOBIl bentuk tanah NGANTONG di Tebet Barat,Tebet Barat,4950000000,225,110,5,4,2
Rumah Cantik 3 Lt Semi FURNISH di Tebet Utara,Tidak Diketahui,2600000000,210,91,5,3,1
Dijual Rumah Baru Di Tebet Timur Harga Bagus,Tebet Timur,4200000000,200,165,4,2,0
Rumah Arsitektur Klasik Dijual Di Tebet Barat Harga Bagus,Tebet Barat,4200000000,150,100,4,4,0
Dijual Rumah 3 Lantai Cocok Untuk Tempat Tinggal Dan Usaha Kost,Tidak Diketahui,1300000000,332,125,7,7,0
Rumah siap huni di Tebet - RPA,Tidak Diketahui,8500000000,550,440,8,5,5
Brand New Rumah Soho Tebet,Tidak Diketahui,8750000000,180,137,4,4,2
Rumah Brand New Siap Huni Tebet Timur Dalam,Tebet Timur,3900000000,200,130,3,3,1
Di jual rumah siap huni model classic di tebet menteng dalem jakarta selatan,Tidak Diketahui,6100000000,390,130,7,6,3
Rumah Cantik Tebet Jaksel. Dekat Cbd Kuningan Dan Mal Kokas,Tidak Diketahui,2500000000,150,90,3,2,1
Dijual Rumah Siap Huni di Tebet Jakarta Selatan,Tidak Diketahui,3500000000,350,100,4,4,2
Rumah Tua Strategis Dijual Hitung Tanah Di Tebet,Tidak Diketahui,3500000000,225,360,4,2,1
Dekat Rumah Sakit Tebet Dan Gelael,Tidak Diketahui,3500000000,200,145,8,8,3
TEBET Rumah Jual Hitung Tanah Jalan Tiga Mobil Lebar,Tidak Diketahui,4500000000,150,200,3,2,2
Rumah Cantik Brand New,Tidak Diketahui,3200000000,150,86,5,4,2
TEBET - Rumah Baru,Tidak Diketahui,6500000000,300,173,4,4,2
Rumah di Tebet Timur Jalan 1 Mobil Lebar,Tebet Timur,1900000000,130,135,5,2,1
TEBET - Sangat Terawat,Tidak Diketahui,5990000000,350,220,5,5,2
DIJUAL Cepat Rumah Baru Siap Huni Full Furnish,Tebet Barat,5500000000,300,173,4,4,2
Tebet rumah mewah prime lokasi,Tidak Diketahui,16500000000,800,361,7,5,6
Rumah jual tebet jl 2mobil 4. 5mly,Tidak Diketahui,4499999744,250,140,5,4,2
Dijual Rumah Tebet Barat Lokasi Premium Tenang Jalan 1 Mobil,Tebet Barat,3500000000,150,135,3,3,2
Dijual Rumah Baru Siap Huni Depan Taman Tebet,Tidak Diketahui,6000000000,220,150,4,4,2
Rumah baru 100%,Tidak Diketahui,3600000000,154,110,3,3,2
4 Bedrooms House Tebet,Tidak Diketahui,4300000000,180,135,4,4,2
TEBET Rumah Mewah Terawat Dekat Jalan Soepomo,Tidak Diketahui,7900000000,380,225,5,4,2
Dijual Rumah Di Barat Asem Baris,Tidak Diketahui,5000000000,320,150,5,5,3
Dijual Rumah Di Tebet Barat,Tebet Barat,3000000000,110,132,3,2,0
Rumah Didalam Kompleks Tebet,Tidak Diketahui,4900000000,280,170,5,4,3
Dijual Rumah Tebet Depan Taman Asri Jalan Muat 2 Mobil,Tidak Diketahui,3700000000,130,130,3,3,2
Rumah Tebet Asam Baris,Tidak Diketahui,2900000000,160,160,3,3,1
Rumah Tebet Barat,Tebet Barat,3700000000,175,89,3,3,2
Dijual Rumah Hitung Tanah Tebet Timur Lokasi Strategis Jalan 1 Mobil,Tebet Timur,3600000000,100,180,4,2,1
Dijual Rumah Hitung Tanah Tebet Utara IV,Tidak Diketahui,2333333000,80,90,2,2,1
TEBET - Rumah Bagus,Tidak Diketahui,6500000000,275,150,4,5,1
TEBET - RUMAH BARU,Tidak Diketahui,6500000000,270,140,3,3,4
TEBET - SIAP HUNI,Tidak Diketahui,2850000000,102,96,3,2,2
Rumah Dijual Daerah Bukit Duri Jakarta Selatan,Bukit Duri,1250000000,120,136,5,2,0
Rumah Hitung Tanah Di Gudang Peluru,Tidak Diketahui,4000000000,194,194,3,3,1
Dijual Rmh Secont Tebet,Tidak Diketahui,6000000000,250,141,4,4,3
Rumah Dekat Pusat Kota Selangkah Menuju Terminal Kampung Melayu,Tidak Diketahui,2600000000,147,154,4,3,1
Dijual Rumah siap huni baru di tebet barat V,Tebet Barat,3500000000,126,135,4,3,0
Rumah baru 2 lantai di Tebet timur,Tebet Timur,3500000000,170,112,3,4,2
Di Jual Rmh Tbt Siap Huni,Tidak Diketahui,12500000000,600,208,4,5,3
Rumah bagus dekat taman dan pasar pspt siap huni acces mudah kemana saja,Tidak Diketahui,3950000000,260,133,5,5,2
Rumah Tebet Timur Dalam,Tebet Timur,2300000000,100,140,3,2,1
Jual Rumah 2 Lantai Di Tebet Jakarta Selatan,Tidak Diketahui,4000000000,216,135,5,4,1
Hunian Nyaman Di Gudang Peluru,Tidak Diketahui,8000000000,382,404,6,3,1
Rumah Siap Huni 2 Lantai,Menteng Dalam,5000000000,180,127,4,4,2
TEBET Rumah Lama Hitung Tanah Bangunan Masih Layak Huni,Tidak Diketahui,7200000000,200,256,5,3,2
Rumah Mewah Dijual Tebet Jakarta Selatan,Tidak Diketahui,17500000000,800,365,5,4,6
Dijual rumah mewah tebet barat,Tebet Barat,14800000000,500,310,4,4,4
Rumah Tebet segera jual,Tidak Diketahui,3750000000,196,196,7,5,2
Rumah Baru Lux siap huni strategis di Menteng Dalam Tebet Jakarta Selatan,Menteng Dalam,6200000000,390,130,7,6,3
5 Bedrooms House Tebet,Tidak Diketahui,4000000000,200,160,5,4,2
Tebet Barat Rumah Full Furnished,Tebet Barat,6200000000,251,140,5,4,5
Dijual Rumah Pinggir Jalan Di Asem Baris Tebet Jakarta Selatan,Tidak Diketahui,8000000000,252,200,4,3,2
Dijual Rumah Mewah Lokasi Strategis Di Tebet Barat Jakarta Selatan,Tebet Barat,8800000000,400,230,5,5,3
Rumah Siap Huni Di Tebet Jakarta Selatan,Tidak Diketahui,3200000000,150,80,5,5,1
Dijual Rumah Tua Hitung Tanah di Tebet,Tidak Diketahui,2250000000,135,135,4,4,0
Dijual Rumah Lux Tebet Jakarta Selatan,Tidak Diketahui,16000000000,140,246,6,6,1
Rumah Jual Hitung Tanah,Tebet Timur,5999999999,240,240,4,4,3
Rumah Dijual Hitung Tanah Di Tebet Barat,Tebet Barat,8555555555,304,304,3,2,3
TEBET - Rumah Bagus,Tidak Diketahui,4600000000,215,135,9,8,2
TEBET - Siap Huni,Tidak Diketahui,4700000000,222,145,4,3,2
Dijual Rumah Siap Huni BU di Kebon Baru Tebet Jakarta Timur,Kebon Baru,2500000000,165,135,4,3,1
Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan 2 Mobil,Tidak Diketahui,8500000000,260,256,4,3,4
Rumah Jl. Rasamala Menteng Dalam,Menteng Dalam,5100000000,200,305,5,2,3
Dijual rumah second Tebet Jakarta Selatan berada dalam lingkungan aman,Tidak Diketahui,8000000000,330,240,5,5,3
Dijual Rumah Di Kebon Baru Tebet,Kebon Baru,3975000000,325,226,6,5,1
Rumah tebet timur dalam,Tebet Timur,5800000000,340,173,5,4,2
Rumah Mewah Siap Huni Di Tebet,Tidak Diketahui,5500000000,420,210,6,5,2
Rumah Asri Dan Sangat Strategis Di Tebet,Tidak Diketahui,4500000000,120,154,6,4,1
Rumah Tebet utara,Tidak Diketahui,2700000000,94,78,3,2,1
Rumah Second Fully Furnish Siap Huni Turun Harga BU Di Menteng Dalam Tebet Jakarta Selatan,Menteng Dalam,4300000000,180,127,4,4,2
Dijual Rumah Minimalist Modern 3lnt Tebet,Tidak Diketahui,3700000000,150,90,4,4,3
Dijual Rumah 2 Lnt Tebet,Tidak Diketahui,3800000000,200,130,4,4,2
Dijual rumah kos tebet,Tidak Diketahui,2600000000,200,135,10,3,2
Dijual Rumah Kondisi Layak Huni Tebet,Tidak Diketahui,4200000000,400,225,5,4,2
Rumah Tua Hitung Tanah Tebet,Tidak Diketahui,3600000000,200,186,3,2,0
Rumah Tua hitung Tanah Tebet,Tidak Diketahui,2150000000,100,104,2,1,0
Tebet Timur Area Tenang dan Nyaman,Tebet Timur,2600000000,120,90,3,2,1
Rumah Mewah di Tenet,Tidak Diketahui,8300000000,260,306,4,3,1
TERJUAL TEBET Rumah Terawat Siap Huni Dekat dari Jalan Besar,Tidak Diketahui,2990000000,162,156,5,4,2
TEBET Rumah Siap Huni Buatan Arsitek,Tidak Diketahui,3200000000,160,90,3,3,2
TEBET Rumah Siap Huni Buatan Arsitek,Tidak Diketahui,2800000000,150,90,4,3,2
Rumah Di Tebet Lokasi Strategis,Tidak Diketahui,7500000000,350,250,5,4,1
Rumah di Tebet Hanya 200 m dari MT Haryono,Tidak Diketahui,6000000000,295,352,6,4,5
Rumah Di Tebet Lingkungan Mewah Dan Akses Mudah,Tidak Diketahui,13500000000,400,430,9,4,4
Rumah Nyaman Asambaris Tebet,Tidak Diketahui,5000000000,320,150,7,6,2
Rumah Dijual 2 lantai,Kebon Baru,6800000000,500,428,6,4,5
Rumah tebet timur jakarta selatan. cozy style modern mini custler 4,Tebet Timur,4600000000,176,137,5,4,2
Di Jual Rumah Second Lokasi Strategis Tebet Jakarta Selatan,Tidak Diketahui,7000000000,300,182,4,3,2
Tebet rumah modern classic,Tidak Diketahui,3500000000,400,150,5,4,2
Dijual rumah cantik bagus di Daerah Menteng Tebet,Tidak Diketahui,5300000000,195,199,5,2,1
Dijual rumah baru cantik minimalis di Tebet,Tidak Diketahui,4000000000,216,135,5,4,1
Dijual Rumah Siap Huni 1.5 Lnt,Tidak Diketahui,3500000000,190,135,4,3,2
Rumah Strategis di Tebet dekat Terminal Kampung Melayu,Tidak Diketahui,2400000000,147,154,2,2,0
Rumah Minimalist Dijual Di Kebon Baru,Kebon Baru,3375000000,192,120,5,4,2
Dijual Rumah Siap Huni DI Tebet Jaksel,Tidak Diketahui,15000000000,350,400,7,4,3
Tebet Timur Jalan lebar,Tebet Timur,14000000000,400,541,5,5,4
Rumah Hitung Tanah di Tebet Timur,Tebet Timur,7100000000,200,256,6,3,3
Rumah second masih bagus wilayah Tebet,Tidak Diketahui,6000000000,325,222,6,4,1
TERJUAL TEBET TIMUR JALAN 2 MOBIL Dekat Taman,Tebet Timur,4300000000,200,145,3,3,2
Dijual Rumah Cantik Tebet Barat Lokasi Dekat Taman Nyaman Jalan 1 Mobil,Tebet Barat,3500000000,250,90,3,4,2
Very Cheap House Tebet,Tidak Diketahui,6500000000,219,338,5,3,1
Tebet rumah full furnished,Tidak Diketahui,7000000000,210,166,6,6,3
The Classic Luxury House With Pool @Brand New near Cassablanca Area,Tidak Diketahui,6100000000,375,130,6,5,3
The Classic Luxury House With Pool @Brand New near Cassablanca Area,Tidak Diketahui,4000000000,200,160,5,4,2
Rumah siap huni di tebet dalam,Tidak Diketahui,8000000000,470,350,7,6,2
Rumah Tua Kebon Baru Tebet Jakarta Selatan,Kebon Baru,10000000000,674,775,4,3,0
Rumah Tebet Ada Kamar Tidur,Tidak Diketahui,3700000000,400,370,6,2,0
Rumah Area Tebet Ada Kamar Tidur,Tidak Diketahui,3000000000,192,120,4,3,2
Dijual Rumah Gudang Peluru Tebet Lokasi Premium Nyaman Jalan Lebar,Tidak Diketahui,8250000000,460,290,6,5,2
Rumah di Tebet Timur Dalam 7 i,Tebet Timur,3300000000,160,179,4,2,2
Dijual Rumah Di Tebet,Tidak Diketahui,11000000000,500,400,6,3,4
Dijual Rumah Baru Siap Huni Daerah Tebet,Tidak Diketahui,7000000000,220,166,4,4,2
Tebet Timur Rumah Homies Termurah Cepat,Tebet Timur,2990000000,162,156,6,4,2
DIJUAL Rumah 2 Lantai,Tidak Diketahui,3600000000,125,135,5,3,2
Dijual Murah Rumah Di Jln Keselamatan Tebet Jakarta Selatan,Tidak Diketahui,2650000000,190,202,4,2,4
Rumah Hoky Lokasi Strategis Di Belakang Hotel Haris Tebet,Tidak Diketahui,2650000000,180,202,4,2,4
Rumah 2 Lantai Siap Huni di Bilangan Tebet,Tidak Diketahui,2700000000,200,122,5,3,1
Rumah Tebet Dengan Lokasi Strategis Jalan Lebar,Tidak Diketahui,2800000000,150,98,4,3,1
Djual rumah di tebet jakarta selatan luas,Tidak Diketahui,9200000000,450,700,8,5,2
Rumah jual Tebet Barat,Tebet Barat,6000000000,150,250,4,4,2
Rumah Dijual Murah Lokasi Strategis Di Kebon Baru,Kebon Baru,1000000000,140,128,5,3,1
Brand New House At Tebet Barat,Tebet Barat,14800000000,500,310,3,3,4
Dijual Rumah Di tebet,Tidak Diketahui,7500000000,200,280,5,5,2
TEBET Rumah Nyaman Siap Huni dekat Kawasan Kuliner Tebet,Tidak Diketahui,1999000000,125,133,4,2,1
Rumah di Tebet Timur,Tebet Timur,1950000000,125,130,4,2,1
Townhouse Bidakara Mewah Nyaman Di Jakarta Selatan 4 Br,Tidak Diketahui,11500000000,600,208,4,5,4
Rumah hook dijual,Tidak Diketahui,2400000000,147,154,3,2,1
Rumah Cantik Full Renov Tebet Timur,Tebet Timur,3100000000,140,90,3,2,2
Rumah Siap Huni Di Tebet - Jakarta Selatan,Tidak Diketahui,4600000000,250,184,4,3,2
Dijual Rumah Lama Tebet Barat Lokasi Strategis Jalan 1 Mobil,Tebet Barat,3000000000,140,135,3,2,1
Dijual Rumah Baru 2 lantai Di Tebet,Tidak Diketahui,3200000000,120,86,5,4,2
Rumah Asri di jalan utama tebet,Tidak Diketahui,15000000000,500,400,9,6,4
Rumah tebet timur dalam,Tebet Timur,4500000000,140,140,3,2,1
